server,timestamp,elapsed_s,goodput_bps,goodput_mbps,bytes_acked,snd_cwnd,rtt_us,rtt_ms,rttvar_us,retransmits,total_retrans,lost,pacing_rate,delivery_rate,snd_ssthresh,cc_algo
160.242.19.254:9208,1773172268.2124522,1.43,1693158.4478436066,1.6931584478436066,302670,57,265426,265.426,1018,0,0,0,373147,290663,49,cubic
160.242.19.254:9208,1773172269.2600715,2.478,2642730.8917281935,2.6427308917281933,648742,69,222679,222.679,974,0,0,0,538415,188372,49,cubic
160.242.19.254:9208,1773172270.4658735,3.684,3208699.368665151,3.208699368665151,1132374,86,298077,298.077,1279,0,0,0,501325,385448,49,cubic
160.242.19.254:9208,1773172271.6946738,4.912,3478592.9098398476,3.4785929098398474,1666686,104,298054,298.054,1234,0,0,0,606300,466235,49,cubic
160.242.19.254:9208,1773172272.853887,6.072,4286990.134278386,4.286990134278386,2287878,126,226176,226.176,686,0,0,0,967996,476474,49,cubic
160.242.19.254:9208,1773172273.9489408,7.167,5691220.581104936,5.691220581104936,3066902,161,300835,300.835,997,0,0,0,929921,553147,49,cubic
160.242.19.254:9208,1773172274.9727252,8.19,7060486.570053583,7.060486570053583,3970454,213,304250,304.25,869,0,0,0,1216462,337070,49,cubic
160.242.19.254:9208,1773172276.1249266,9.343,9661699.650503872,9.661699650503872,5361982,305,228037,228.037,840,0,0,0,2324034,378274,49,cubic
212.60.92.134:60001,1773172295.8598392,1.022,2392033.68099012,2.39203368099012,305566,218,200552,200.552,629,0,0,0,3147937,549595,2147483647,cubic
212.60.92.134:60001,1773172296.9957218,2.158,9535351.494092338,9.535351494092337,1659446,135,176351,176.351,1119,0,51,0,1330162,1107697,134,cubic
212.60.92.134:60001,1773172298.259087,3.421,9471743.680467295,9.471743680467295,3155230,108,172649,172.649,1158,0,52,0,1086949,851371,105,cubic
212.60.92.134:60001,1773172300.0020247,5.164,7171304.498837138,7.171304498837138,4717622,90,173916,173.916,576,0,53,0,899188,730663,85,cubic
212.60.92.134:60001,1773172301.0308616,6.193,6102549.004522792,6.102549004522792,5502438,99,173576,173.576,1489,0,53,0,991048,807208,85,cubic
212.60.92.134:60001,1773172302.9994714,8.162,6325682.183198925,6.325682183198925,7059038,81,174563,174.563,1576,0,54,0,806272,639583,72,cubic
212.60.92.134:60001,1773172304.0737195,9.236,5855362.595980268,5.855362595980268,7845302,96,176413,176.413,1695,0,54,0,945560,765267,72,cubic
105.235.237.2:5205,1773172308.659488,1.229,1357742.0626114067,1.3577420626114067,208550,152,302527,302.527,849,0,0,0,1455050,357118,2147483647,cubic
