server,timestamp,elapsed_s,goodput_bps,goodput_mbps,bytes_acked,snd_cwnd,rtt_us,rtt_ms,rttvar_us,retransmits,total_retrans,lost,pacing_rate,delivery_rate,snd_ssthresh,cc_algo
160.242.19.254:9208,1773173173.7589881,1.063,1014035.9145067392,1.0140359145067392,134702,103,221304,221.304,475,0,0,0,18446744073709551615,319011,2147483647,mycc
160.242.19.254:9208,1773173175.2656112,2.569,22389547.574165545,22.389547574165544,4351278,1792,463762,463.762,1321,135,136,135,18446744073709551615,5208192,896,mycc
160.242.19.254:9208,1773173176.4769268,3.781,36054048.05410357,36.05404805410357,9810382,1792,381905,381.905,7760,0,698,0,18446744073709551615,3991000,896,mycc
160.242.19.254:9208,1773173177.509892,4.814,27876068.29997715,27.87606829997715,13409758,1792,257381,257.381,12823,0,1519,0,18446744073709551615,63414,896,mycc
160.242.19.254:9208,1773173178.72033,6.024,30530541.507089794,30.530541507089794,18029174,1792,239258,239.258,1987,0,2402,0,18446744073709551615,1588797,896,mycc
160.242.19.254:9208,1773173179.9494507,7.253,26850752.052363914,26.850752052363912,22154526,1792,236778,236.778,1709,12,3233,12,18446744073709551615,1225107,896,mycc
160.242.19.254:9208,1773173181.1734855,8.477,30159299.731889565,30.159299731889565,26769030,1792,302818,302.818,38152,103,4085,103,18446744073709551615,1000731,896,mycc
160.242.19.254:9208,1773173182.2535114,9.557,21054487.453891505,21.054487453891504,29611454,1792,218864,218.864,1042,70,5160,70,18446744073709551615,1664797,896,mycc
212.60.92.134:60001,1773173188.3663127,1.336,5932013.669927478,5.9320136699274775,990470,291,180446,180.446,2841,0,30,0,18446744073709551615,2229589,145,mycc
212.60.92.134:60001,1773173189.4031413,2.373,19373170.831002943,19.373170831002945,3501302,296,170418,170.418,577,0,59,0,18446744073709551615,2520132,146,mycc
212.60.92.134:60001,1773173190.4763265,3.446,20152465.66014487,20.15246566014487,6204718,302,170830,170.83,580,0,59,0,18446744073709551615,2511950,146,mycc
212.60.92.134:60001,1773173191.515879,4.485,20771030.837607183,20.77103083760718,8903790,308,171062,171.062,1221,0,59,0,18446744073709551615,2530545,146,mycc
212.60.92.134:60001,1773173192.5412688,5.511,21114403.208238844,21.114403208238844,11610102,314,170225,170.225,940,0,59,0,18446744073709551615,2663375,146,mycc
212.60.92.134:60001,1773173193.5954614,6.565,21405607.684480112,21.405607684480113,14430806,321,170757,170.757,1106,0,59,0,18446744073709551615,2715169,146,mycc
212.60.92.134:60001,1773173194.680189,7.65,21390396.620377228,21.390396620377228,17331150,327,169745,169.745,473,0,59,0,18446744073709551615,2729910,146,mycc
212.60.92.134:60001,1773173195.727265,8.697,22170631.636360407,22.170631636360408,20232942,333,170247,170.247,611,0,59,0,18446744073709551615,2794565,146,mycc
212.60.92.134:60001,1773173196.7397835,9.709,22950198.626031626,22.950198626031625,23137630,339,169672,169.672,980,0,59,0,18446744073709551615,2858699,146,mycc
105.235.237.2:5205,1773173200.1363497,1.093,1589455.660122886,1.589455660122886,217238,160,263674,263.674,862,0,0,0,18446744073709551615,441164,2147483647,mycc
105.235.237.2:5205,1773173201.1604116,2.117,6278057.884363271,6.278057884363271,1020878,417,307783,307.783,64,0,0,0,18446744073709551615,1036066,2147483647,mycc
105.235.237.2:5205,1773173202.9700427,3.927,17603587.735303536,17.603587735303535,5002878,1472,696214,696.214,9498,187,192,187,18446744073709551615,2441577,736,mycc
105.235.237.2:5205,1773173204.7137926,5.671,29627295.33374543,29.62729533374543,11460702,1472,710800,710.8,12389,107,327,107,18446744073709551615,1305155,736,mycc
105.235.237.2:5205,1773173206.3502734,7.307,13052946.232065802,13.052946232065802,14130814,1472,631613,631.613,43386,39,820,39,18446744073709551615,1714909,736,mycc
105.235.237.2:5205,1773173207.675532,8.633,37586019.094373375,37.58601909437338,20357214,1472,766700,766.7,593,2,1243,2,18446744073709551615,2775752,736,mycc
105.235.237.2:5205,1773173208.9364655,9.894,15562515.841394298,15.562515841394298,22810126,1472,588189,588.189,49338,17,1411,17,18446744073709551615,1081291,736,mycc
speed.mymanga.pro:9215,1773173213.3431613,1.199,425214.7378167674,0.42521473781676744,63750,54,408738,408.738,2090,0,0,0,18446744073709551615,77732,2147483647,mycc
speed.mymanga.pro:9215,1773173214.4704196,2.327,2949286.7763279006,2.9492867763279005,479326,341,406535,406.535,6933,0,0,0,18446744073709551615,564411,2147483647,mycc
speed.mymanga.pro:9215,1773173215.90898,3.765,23787071.873660184,23.787071873660185,4756718,2001,535996,535.996,954,73,74,73,18446744073709551615,5213523,1000,mycc
speed.mymanga.pro:9215,1773173217.4532812,5.31,31914477.383087225,31.914477383087224,10917414,2001,501587,501.587,81875,67,262,67,18446744073709551615,484770,1000,mycc
speed.mymanga.pro:9215,1773173218.9160736,6.772,14772972.604338497,14.772972604338497,13618638,2001,334212,334.212,20991,266,1471,266,18446744073709551615,824752,1000,mycc
speed.mymanga.pro:9215,1773173220.5062134,8.362,23843457.304386966,23.843457304386966,18357942,2001,358010,358.01,34281,187,2523,187,18446744073709551615,584851,1000,mycc
speed.mymanga.pro:9215,1773173221.5524666,9.409,28015306.312328406,28.015306312328406,22021830,2001,481298,481.298,944,269,2792,269,18446744073709551615,5042809,1000,mycc
speedtestfl.telecom.mu:5204,1773173226.769747,1.035,470364.70906362263,0.47036470906362265,60854,52,329766,329.766,18660,0,0,0,18446744073709551615,70204,2147483647,mycc
speedtestfl.telecom.mu:5204,1773173227.7843866,2.05,5948184.857711304,5.948184857711304,815262,574,357206,357.206,486,0,0,0,18446744073709551615,1161024,2147483647,mycc
speedtestfl.telecom.mu:5204,1773173229.3428955,3.608,20633301.84215908,20.63330184215908,4834910,1631,557379,557.379,518,1,2,1,18446744073709551615,4227604,815,mycc
speedtestfl.telecom.mu:5204,1773173230.6389534,4.904,24087614.48684553,24.08761448684553,8737278,1631,558770,558.77,10638,3,110,3,18446744073709551615,3024870,815,mycc
speedtestfl.telecom.mu:5204,1773173231.683425,5.949,25120853.888420712,25.12085388842071,12017030,1632,454328,454.328,2260,455,695,455,18446744073709551615,2973632,816,mycc
speedtestfl.telecom.mu:5204,1773173233.1682959,7.434,29168089.757513165,29.168089757513165,17430886,1633,328606,328.606,1831,552,1288,552,18446744073709551615,2749367,816,mycc
speedtestfl.telecom.mu:5204,1773173234.1913333,8.457,43504644.63683164,43.50464463683164,22994246,1633,446598,446.598,2617,34,1366,34,18446744073709551615,5148195,816,mycc
speedtestfl.telecom.mu:5204,1773173235.4418986,9.707,29451973.664418347,29.451973664418347,27598198,1633,399563,399.563,3368,0,1647,0,18446744073709551615,1418687,816,mycc
speedtest.telecom.mu:5203,1773173240.4773684,1.203,588819.6292010294,0.5888196292010295,88534,72,409558,409.558,435,0,0,0,18446744073709551615,112981,2147483647,mycc
speedtest.telecom.mu:5203,1773173241.6035895,2.329,2642237.6465162793,2.6422376465162793,460502,318,409357,409.357,305,0,0,0,18446744073709551615,519772,2147483647,mycc
speedtest.telecom.mu:5203,1773173243.1006908,3.826,21409992.665121485,21.409992665121486,4467118,1727,486643,486.643,1289,1,2,1,18446744073709551615,4556613,863,mycc
speedtest.telecom.mu:5203,1773173244.1218083,4.847,27725421.823986072,27.72542182398607,8005982,1727,425227,425.227,768,8,247,8,18446744073709551615,4372776,863,mycc
speedtest.telecom.mu:5203,1773173245.1380472,5.864,28919246.443778,28.919246443778,11679590,1728,419860,419.86,2116,328,666,328,18446744073709551615,3475174,864,mycc
speedtest.telecom.mu:5203,1773173246.4089472,7.134,41154079.427750394,41.154079427750396,18217430,1728,567614,567.614,9575,0,966,0,18446744073709551615,3381566,864,mycc
speedtest.telecom.mu:5203,1773173247.5702655,8.296,17763536.458288595,17.763536458288595,20796070,260,326013,326.013,424,46,1524,46,18446744073709551615,636491,130,mycc
speedtest.telecom.mu:5203,1773173249.0799747,9.805,15076430.089436196,15.076430089436196,23641198,264,366849,366.849,9709,0,1524,0,18446744073709551615,1045897,130,mycc
41.226.22.119:9206,1773173268.3203683,1.03,3485706.6536931414,3.4857066536931414,448918,320,227957,227.957,75,0,0,0,18446744073709551615,1016126,2147483647,mycc
41.226.22.119:9206,1773173269.528435,2.238,25928316.665810276,25.928316665810275,4364310,1520,264623,264.623,15470,421,561,421,18446744073709551615,1394023,760,mycc
41.226.22.119:9206,1773173270.7699022,3.48,25510665.96366839,25.51066596366839,8323142,1520,155206,155.206,8717,123,880,123,18446744073709551615,1093837,760,mycc
41.226.22.119:9206,1773173272.639891,5.35,34940960.179495856,34.94096017949585,16490542,1520,241447,241.447,6178,25,3044,25,18446744073709551615,2721956,760,mycc
41.226.22.119:9206,1773173273.8232448,6.533,41731042.557977624,41.731042557977624,22663366,1520,206153,206.153,9636,4,3828,4,18446744073709551615,2396517,760,mycc
41.226.22.119:9206,1773173274.8954275,7.605,38822519.45869701,38.822519458697016,27866470,1520,152064,152.064,8132,0,4502,0,18446744073709551615,3661585,760,mycc
41.226.22.119:9206,1773173276.719713,9.43,25917908.03212292,25.91790803212292,33776678,1520,194973,194.973,11256,44,6579,44,18446744073709551615,1794641,760,mycc
169.150.238.161:5201,1773173282.151249,1.226,822175.2691934733,0.8221752691934733,126014,97,305421,305.421,753,0,0,0,18446744073709551615,210564,2147483647,mycc
169.150.238.161:5201,1773173283.4214952,2.496,13551564.324873367,13.551564324873368,2277742,1583,340598,340.598,1332,0,0,0,18446744073709551615,3339549,2147483647,mycc
169.150.238.161:5201,1773173284.6087258,3.684,15670000.590973664,15.670000590973665,4603230,1,398630,398.63,7585,1,3,1207,18446744073709551615,1453895,986,mycc
86.96.154.106:7012,1773173333.5552924,1.228,1415556.4835851481,1.4155564835851482,217238,160,307404,307.404,230,0,0,0,18446744073709551615,376520,2147483647,mycc
86.96.154.106:7012,1773173334.9034615,2.576,15810004.979324026,15.810004979324026,2881558,2001,403740,403.74,5336,0,0,0,18446744073709551615,3446295,2147483647,mycc
86.96.154.106:7012,1773173335.9123433,3.585,28262577.234431677,28.262577234431678,6445758,2108,229953,229.953,11320,0,534,0,18446744073709551615,115224,1054,mycc
86.96.154.106:7012,1773173337.0670764,4.74,20008694.97834659,20.00869497834659,9333846,2108,225149,225.149,653,90,1668,90,18446744073709551615,2510869,1054,mycc
86.96.154.106:7012,1773173338.3678808,6.04,26775063.66558901,26.77506366558901,13687486,2108,241875,241.875,1578,322,2737,322,18446744073709551615,316549,1054,mycc
86.96.154.106:7012,1773173339.631719,7.304,35599693.658918954,35.59969365891895,19311518,2108,333663,333.663,571,10,3768,10,18446744073709551615,4932695,1054,mycc
86.96.154.106:7012,1773173340.885476,8.558,26008229.665552184,26.008229665552182,23387518,2108,296020,296.02,10970,856,4643,856,18446744073709551615,5082693,1054,mycc
84.17.57.129:5201,1773173350.5546973,1.024,1605967.5233160285,1.6059675233160284,205654,152,249108,249.108,405,0,0,0,18446744073709551615,442340,2147483647,mycc
84.17.57.129:5201,1773173351.6190357,2.089,13615578.821797341,13.61557882179734,2017102,1131,244741,244.741,1608,0,0,0,18446744073709551615,3267537,2147483647,mycc
84.17.57.129:5201,1773173352.8055115,3.275,15025824.12083819,15.02582412083819,4245574,1,388004,388.004,6445,1,3,1312,18446744073709551615,860029,693,mycc
