server,timestamp,elapsed_s,goodput_bps,goodput_mbps,bytes_acked,snd_cwnd,rtt_us,rtt_ms,rttvar_us,retransmits,total_retrans,lost,pacing_rate,delivery_rate,snd_ssthresh,cc_algo
160.242.19.254:9208,1773171927.4266863,1.022,1405741.6305467053,1.4057416305467054,179590,133,253615,253.615,1903,0,0,0,1517579,308987,2147483647,reno
160.242.19.254:9208,1773171928.9641645,2.56,22377214.72008952,22.377214720089523,4480150,1002,466190,466.19,848,320,321,320,3997253,5218377,1002,reno
160.242.19.254:9208,1773171930.5610936,4.156,27129670.768380918,27.12967076838092,9895670,253,217970,217.97,1036,0,428,0,2016845,1675048,250,reno
160.242.19.254:9208,1773171932.2987769,5.894,13199367.255304752,13.199367255304752,12762710,260,218082,218.082,1201,0,428,0,2071587,1723492,250,reno
160.242.19.254:9208,1773171933.9299889,7.525,14075109.829498352,14.075109829498352,15632646,268,221681,221.681,1745,0,428,0,2100653,1691398,250,reno
160.242.19.254:9208,1773171935.5232065,9.119,14388954.677138692,14.388954677138692,18498238,275,220394,220.394,1040,0,428,0,2168110,1826204,250,reno
212.60.92.134:60001,1773171956.1946511,1.022,2041222.6154442492,2.041222615444249,260678,188,203102,203.102,269,0,0,0,2680653,262883,2147483647,reno
212.60.92.134:60001,1773171959.2667367,4.094,4419293.497601018,4.419293497601018,1957734,21,203708,203.708,1068,0,58,0,179126,142266,20,reno
212.60.92.134:60001,1773171963.0540824,7.881,1740347.096074548,1.7403470960745482,2781646,40,199430,199.43,778,0,58,0,348513,278699,20,reno
105.235.237.2:5205,1773171983.5301545,1.228,991000.1955040683,0.9910001955040683,152078,110,304289,304.289,404,0,2,0,1046896,188827,2147483647,reno
105.235.237.2:5205,1773171984.6570508,2.355,11862613.29870565,11.86261329870565,1823070,1264,302648,302.648,506,0,2,0,12095024,2704886,2147483647,reno
105.235.237.2:5205,1773171986.197776,3.895,19899740.31690536,19.899740316905362,5655574,1119,787918,787.918,22586,0,103,0,2467736,583310,1119,reno
