server,timestamp,elapsed_s,goodput_bps,goodput_mbps,bytes_acked,snd_cwnd,rtt_us,rtt_ms,rttvar_us,retransmits,total_retrans,lost,pacing_rate,delivery_rate,snd_ssthresh,cc_algo
160.242.19.254:9208,1773107234.9059374,1.061,949885.3495708887,0.9498853495708887,126014,97,223147,223.147,862,0,0,0,18446744073709551615,291220,2147483647,mycc
160.242.19.254:9208,1773107236.1015866,2.257,15181818.21568138,15.18181821568138,2395030,1365,307848,307.848,854,0,0,0,18446744073709551615,3844903,2147483647,mycc
160.242.19.254:9208,1773107237.6580253,3.813,26704162.78835087,26.704162788350867,7590454,1750,229254,229.254,16294,235,761,235,18446744073709551615,2502489,875,mycc
160.242.19.254:9208,1773107238.7592719,4.915,29353498.24057045,29.35349824057045,11631134,1750,338309,338.309,6024,122,1340,122,18446744073709551615,1561932,875,mycc
160.242.19.254:9208,1773107239.8519118,6.007,48334810.840857595,48.33481084085759,18232702,1750,230367,230.367,7996,0,1769,0,18446744073709551615,1814926,875,mycc
160.242.19.254:9208,1773107241.050447,7.206,28299504.168653365,28.299504168653364,22472446,1750,222220,222.22,2992,8,2072,8,18446744073709551615,2294472,875,mycc
160.242.19.254:9208,1773107242.2647223,8.42,30057735.830834236,30.057735830834236,27034742,1750,230440,230.44,5301,103,2875,103,18446744073709551615,939969,875,mycc
160.242.19.254:9208,1773107243.6046033,9.76,32455755.279980242,32.455755279980245,32470598,1750,450584,450.584,5499,0,3568,0,18446744073709551615,3184727,875,mycc
160.242.19.254:9208,1773107244.716556,10.872,29857152.702043884,29.857152702043884,36620566,1750,363462,363.462,4794,0,4325,0,18446744073709551615,2702373,875,mycc
160.242.19.254:9208,1773107245.8538818,12.009,30718853.92472491,30.71885392472491,40987734,1750,324864,324.864,6028,0,5153,0,18446744073709551615,2524070,875,mycc
160.242.19.254:9208,1773107247.5344455,13.69,23291194.658681944,23.291194658681945,45880526,1750,269091,269.091,2365,90,6923,90,18446744073709551615,3961559,875,mycc
160.242.19.254:9208,1773107248.9843638,15.14,32456714.954281237,32.45671495428124,51762974,1750,444730,444.73,1775,98,7502,98,18446744073709551615,2339373,875,mycc
160.242.19.254:9208,1773107250.373306,16.529,42297649.418033294,42.297649418033295,59106598,1750,274446,274.446,21754,0,8612,0,18446744073709551615,2129366,875,mycc
160.242.19.254:9208,1773107251.8218162,17.977,32765339.852988366,32.76533985298837,65039214,1750,445770,445.77,5025,0,9152,0,18446744073709551615,4073695,875,mycc
160.242.19.254:9208,1773107252.9883175,19.144,28651394.10352608,28.651394103526076,69216950,1750,362444,362.444,4397,0,9829,0,18446744073709551615,2487537,875,mycc
160.242.19.254:9208,1773107254.1658251,20.321,30733062.617619373,30.733062617619375,73740502,1750,344017,344.017,6052,0,10682,0,18446744073709551615,2711145,875,mycc
160.242.19.254:9208,1773107256.107747,22.263,22912426.533957537,22.912426533957536,79302270,1750,219135,219.135,1140,165,12606,165,18446744073709551615,1869076,875,mycc
160.242.19.254:9208,1773107257.2367399,23.392,43596862.776112966,43.596862776112964,85454838,1750,252819,252.819,5579,0,13223,0,18446744073709551615,1321680,875,mycc
160.242.19.254:9208,1773107258.4172928,24.573,28726009.899653405,28.726009899653405,89693910,1750,227470,227.47,6690,76,13758,76,18446744073709551615,1239308,875,mycc
160.242.19.254:9208,1773107259.5873506,25.743,20404653.97426103,20.40465397426103,92678238,1750,225489,225.489,13290,153,14613,153,18446744073709551615,1064625,875,mycc
160.242.19.254:9208,1773107260.592212,26.748,30260891.071095552,30.260891071095553,96479238,1750,246926,246.926,4304,120,15551,120,18446744073709551615,3949065,875,mycc
160.242.19.254:9208,1773107261.9119217,28.067,40812609.639431834,40.812609639431834,103211838,1750,335637,335.637,4082,0,16171,0,18446744073709551615,2069028,875,mycc
160.242.19.254:9208,1773107262.9667542,29.122,33648354.02449027,33.64835402449027,107648510,1750,218622,218.622,1511,2,17059,2,18446744073709551615,971075,875,mycc
160.242.19.254:9208,1773107264.2580702,30.413,29330201.940824628,29.33020194082463,112382830,1750,279642,279.642,14696,0,17599,0,18446744073709551615,55578,875,mycc
160.242.19.254:9208,1773107265.457946,31.613,26877661.130058873,26.877661130058872,116414062,1750,228940,228.94,1345,4,18383,4,18446744073709551615,1633879,875,mycc
160.242.19.254:9208,1773107266.6420534,32.797,31106207.93184424,31.10620793184424,121018198,1750,225611,225.611,2455,22,18775,22,18446744073709551615,238347,875,mycc
160.242.19.254:9208,1773107267.8426797,33.998,27507295.137514815,27.507295137514816,125146446,1750,227341,227.341,631,6,19524,6,18446744073709551615,1311694,875,mycc
160.242.19.254:9208,1773107269.0405443,35.196,32342782.468139853,32.34278246813985,129989230,1750,231082,231.082,1433,22,20314,22,18446744073709551615,1618253,875,mycc
160.242.19.254:9208,1773107270.2316163,36.387,19110985.940007024,19.110985940007023,132834550,1750,218726,218.726,594,44,21050,44,18446744073709551615,974978,875,mycc
160.242.19.254:9208,1773107271.322414,37.478,32857510.81473276,32.85751081473276,137314662,1750,277917,277.917,3146,2,21632,2,18446744073709551615,4637969,875,mycc
160.242.19.254:9208,1773107272.5416408,38.697,39201131.85123258,39.20113185123258,143289046,1750,227303,227.303,9540,47,21971,47,18446744073709551615,1228346,875,mycc
160.242.19.254:9208,1773107273.7097204,39.865,20007458.145065777,20.007458145065776,146210334,1750,220416,220.416,1798,49,22698,49,18446744073709551615,870240,875,mycc
160.242.19.254:9208,1773107274.8850334,41.04,44219628.4571257,44.2196284571257,152706822,1750,218082,218.082,253,0,23277,0,18446744073709551615,2236708,875,mycc
160.242.19.254:9208,1773107276.026799,42.182,10693557.468365258,10.693557468365258,154233014,1750,255045,255.045,49144,72,23549,72,18446744073709551615,675315,875,mycc
160.242.19.254:9208,1773107277.2704916,43.426,42559042.68227225,42.55904268227225,160849310,1750,229509,229.509,15838,116,24266,116,18446744073709551615,923548,875,mycc
160.242.19.254:9208,1773107278.3736513,44.529,30784185.68478537,30.78418568478537,165094294,1750,220471,220.471,849,5,25241,5,18446744073709551615,1527825,875,mycc
