server,timestamp,elapsed_s,goodput_bps,goodput_mbps,bytes_acked,snd_cwnd,rtt_us,rtt_ms,rttvar_us,retransmits,total_retrans,lost,pacing_rate,delivery_rate,snd_ssthresh,cc_algo
160.242.19.254:9208,1773105615.49037,1.231,846987.2527818437,0.8469872527818436,130358,99,309196,309.196,360,0,0,0,18446744073709551615,224584,2147483647,mycc
160.242.19.254:9208,1773105616.8738697,2.615,17792559.9706901,17.7925599706901,3207358,2225,433662,433.662,2317,0,0,0,18446744073709551615,3682399,2147483647,mycc
160.242.19.254:9208,1773105618.1375346,3.878,30074655.210902996,30.074655210902996,7957894,2306,473261,473.261,2851,0,662,0,18446744073709551615,3051352,1153,mycc
160.242.19.254:9208,1773105619.9468853,5.688,27457893.709623456,27.457893709623455,14168014,2306,421961,421.961,13878,3,2252,3,18446744073709551615,2498024,1153,mycc
160.242.19.254:9208,1773105621.1806464,6.922,31289092.24899817,31.28909224899817,18993422,2306,271532,271.532,2016,0,3042,0,18446744073709551615,2336593,1153,mycc
160.242.19.254:9208,1773105622.3875935,8.128,28365651.098987952,28.365651098987954,23272902,2306,227735,227.735,684,3,3983,3,18446744073709551615,2791938,1153,mycc
160.242.19.254:9208,1773105623.5979335,9.339,19261284.892018057,19.261284892018057,26186990,2306,244801,244.801,1172,130,5181,130,18446744073709551615,951869,1153,mycc
160.242.19.254:9208,1773105624.883594,10.624,42464211.80020736,42.46421180020736,33011310,2306,284883,284.883,1787,0,6025,0,18446744073709551615,2180661,1153,mycc
160.242.19.254:9208,1773105626.1490357,11.89,17786447.8312985,17.7864478312985,35824774,2306,276529,276.529,2095,60,7339,60,18446744073709551615,1043888,1153,mycc
160.242.19.254:9208,1773105627.355419,13.096,31086957.378200285,31.086957378200285,40512622,2306,218316,218.316,1215,74,8237,74,18446744073709551615,1390535,1153,mycc
160.242.19.254:9208,1773105628.4105985,14.151,28449678.24937005,28.44967824937005,44265062,2306,253023,253.023,33136,45,8960,45,18446744073709551615,2055037,1153,mycc
160.242.19.254:9208,1773105629.7413225,15.482,31264785.162737858,31.26478516273786,49465662,2306,223985,223.985,427,69,9964,69,18446744073709551615,1735197,1153,mycc
160.242.19.254:9208,1773105630.7904878,16.531,31853742.807405856,31.853742807405855,53643142,2306,322163,322.163,26990,46,11103,46,18446744073709551615,4080327,1153,mycc
160.242.19.254:9208,1773105632.105964,17.847,27314653.4846089,27.3146534846089,58134614,2306,225159,225.159,1069,97,12027,97,18446744073709551615,1409640,1153,mycc
160.242.19.254:9208,1773105633.4737024,19.215,38020086.849580534,38.02008684958054,64634806,2306,222375,222.375,765,2,12985,2,18446744073709551615,1343368,1153,mycc
160.242.19.254:9208,1773105634.477531,20.218,33580874.76320563,33.580874763205635,68848486,2306,313802,313.802,5038,0,13452,0,18446744073709551615,1732490,1153,mycc
160.242.19.254:9208,1773105636.371988,22.113,29989231.18679364,29.98923118679364,75950150,2306,377832,377.832,17382,9,14732,9,18446744073709551615,3335701,1153,mycc
160.242.19.254:9208,1773105637.4845562,23.225,22521040.373604856,22.521040373604855,79082174,2306,428544,428.544,16633,27,15541,27,18446744073709551615,2841018,1153,mycc
160.242.19.254:9208,1773105638.4973402,24.238,22684149.73426455,22.684149734264548,81953942,2306,246354,246.354,1524,16,16303,16,18446744073709551615,3734530,1153,mycc
160.242.19.254:9208,1773105639.9122674,25.653,20053746.308571294,20.053746308571295,85500766,2306,412189,412.189,8135,78,17011,78,18446744073709551615,2454184,1153,mycc
160.242.19.254:9208,1773105641.0201077,26.761,48130720.6633916,48.1307206633916,92165910,2306,342911,342.911,25188,10,17778,10,18446744073709551615,3837632,1153,mycc
160.242.19.254:9208,1773105642.9375603,28.678,19194266.65532475,19.19426665532475,96766422,2306,230716,230.716,5731,9,18922,9,18446744073709551615,2794615,1153,mycc
160.242.19.254:9208,1773105643.994703,29.736,43699862.36593145,43.69986236593145,102541046,2306,401612,401.612,14030,7,19534,7,18446744073709551615,3448425,1153,mycc
160.242.19.254:9208,1773105645.014812,30.756,26924246.000629637,26.924246000629637,105974254,2306,372071,372.071,19291,0,20097,0,18446744073709551615,2588381,1153,mycc
160.242.19.254:9208,1773105646.3245997,32.065,17440725.030251667,17.440725030251667,108829710,2306,235194,235.194,1798,37,21088,37,18446744073709551615,879366,1153,mycc
160.242.19.254:9208,1773105647.6654074,33.406,30423930.829589836,30.423930829589835,113928790,2306,222555,222.555,657,164,22539,164,18446744073709551615,2493951,1153,mycc
160.242.19.254:9208,1773105648.8356946,34.577,27809270.992378183,27.80927099237818,117996894,2306,347017,347.017,15599,9,23374,9,18446744073709551615,3507171,1153,mycc
160.242.19.254:9208,1773105650.1307576,35.872,37903008.0293143,37.9030080293143,124132742,2306,224653,224.653,6422,1,24005,1,18446744073709551615,1029969,1153,mycc
160.242.19.254:9208,1773105651.1968725,36.938,22659861.468433965,22.659861468433967,127152494,2306,217650,217.65,336,91,24815,91,18446744073709551615,1462428,1153,mycc
160.242.19.254:9208,1773105652.4536777,38.195,32420541.066883836,32.420541066883835,132245782,2306,219032,219.032,610,48,25652,48,18446744073709551615,1396303,1153,mycc
160.242.19.254:9208,1773105653.6884172,39.429,30795210.41189,30.79521041189,136998790,2306,229714,229.714,529,57,26421,57,18446744073709551615,1640087,1153,mycc
160.242.19.254:9208,1773105655.2446058,40.985,26250391.78184341,26.25039178184341,142105110,2306,243572,243.572,1926,127,27736,127,18446744073709551615,567761,1153,mycc
