server,timestamp,elapsed_s,goodput_bps,goodput_mbps,bytes_acked,snd_cwnd,rtt_us,rtt_ms,rttvar_us,retransmits,total_retrans,lost,pacing_rate,delivery_rate,snd_ssthresh,cc_algo
160.242.19.254:9208,1773106661.6240604,1.125,906227.4363708482,0.9062274363708482,127462,98,307272,307.272,175,0,0,0,18446744073709551615,216689,2147483647,mycc
160.242.19.254:9208,1773106662.8583598,2.36,13364355.289486418,13.364355289486417,2189414,1344,310221,310.221,131,0,0,0,18446744073709551615,3471236,2147483647,mycc
160.242.19.254:9208,1773106663.981274,3.482,33524659.463775758,33.524659463775755,6895078,1597,321307,321.307,42,0,311,0,18446744073709551615,2543519,798,mycc
160.242.19.254:9208,1773106665.6653633,5.167,24453048.3099696,24.4530483099696,12042718,1597,250649,250.649,7581,137,1922,137,18446744073709551615,4413816,798,mycc
160.242.19.254:9208,1773106666.7409685,6.242,40688120.39038927,40.68812039038927,17513262,1597,247183,247.183,4308,1,2586,1,18446744073709551615,4147911,798,mycc
160.242.19.254:9208,1773106667.7883701,7.29,31641943.158518966,31.641943158518966,21655990,1597,300441,300.441,14281,0,3034,0,18446744073709551615,2341337,798,mycc
160.242.19.254:9208,1773106669.8017771,9.303,19790661.38100457,19.79066138100457,26636822,1597,258024,258.024,24956,7,3632,7,18446744073709551615,996962,798,mycc
160.242.19.254:9208,1773106670.8082898,10.309,29451647.963252023,29.45164796325202,30342254,1597,271563,271.563,6526,96,4221,96,18446744073709551615,2812434,798,mycc
160.242.19.254:9208,1773106671.8554688,11.357,30221660.759970374,30.221660759970373,34298190,1597,227629,227.629,978,122,4984,122,18446744073709551615,2933204,798,mycc
160.242.19.254:9208,1773106672.8642101,12.365,31924456.23556595,31.92445623556595,38323630,1597,233399,233.399,2669,127,5869,127,18446744073709551615,3472655,798,mycc
160.242.19.254:9208,1773106673.870356,13.372,47774094.605850786,47.774094605850784,44332094,1597,222136,222.136,895,0,6591,0,18446744073709551615,3871623,798,mycc
160.242.19.254:9208,1773106674.899169,14.4,29375930.67921655,29.375930679216548,48109886,1597,224029,224.029,576,0,7300,0,18446744073709551615,2695716,798,mycc
160.242.19.254:9208,1773106675.91348,15.415,11597988.316905439,11.59798831690544,49580382,1597,258688,258.688,7651,21,7910,21,18446744073709551615,2971513,798,mycc
160.242.19.254:9208,1773106676.9346898,16.436,30638549.051549472,30.63854905154947,53491430,1597,243655,243.655,7876,70,8577,70,18446744073709551615,3219692,798,mycc
160.242.19.254:9208,1773106678.0187218,17.52,28862969.271467153,28.862969271467154,57402478,1597,247887,247.887,5870,121,9267,121,18446744073709551615,3306394,798,mycc
160.242.19.254:9208,1773106679.0220797,18.523,32233714.819405437,32.233714819405435,61445222,1597,224443,224.443,5248,32,9783,32,18446744073709551615,1755806,798,mycc
160.242.19.254:9208,1773106680.094523,19.596,37438012.79764739,37.43801279764739,66463990,1597,220890,220.89,1712,2,10573,2,18446744073709551615,1923982,798,mycc
160.242.19.254:9208,1773106681.544183,21.045,36329576.39644393,36.32957639644393,73047182,1597,426961,426.961,1658,68,10795,68,18446744073709551615,5206892,798,mycc
160.242.19.254:9208,1773106683.183651,22.685,29569983.275930945,29.569983275930944,79107062,1597,224610,224.61,1485,55,11550,55,18446744073709551615,1168211,798,mycc
160.242.19.254:9208,1773106684.4707932,23.972,27413336.22318106,27.413336223181062,83517670,1597,221997,221.997,973,141,12113,141,18446744073709551615,1493084,798,mycc
160.242.19.254:9208,1773106685.6042652,25.105,32683324.43863036,32.68332443863036,88148374,1597,223406,223.406,973,26,12960,26,18446744073709551615,2079631,798,mycc
160.242.19.254:9208,1773106686.7327626,26.234,31293209.168988567,31.293209168988568,92562662,1597,225288,225.288,1252,29,13795,29,18446744073709551615,1803181,798,mycc
160.242.19.254:9208,1773106687.8499067,27.351,30826834.030611813,30.826834030611813,96867414,1597,226381,226.381,2125,28,14664,28,18446744073709551615,2199146,798,mycc
160.242.19.254:9208,1773106689.857533,29.359,25473585.46014385,25.47358546014385,103260094,1597,285738,285.738,28385,18,15412,18,18446744073709551615,421311,798,mycc
160.242.19.254:9208,1773106691.0986092,30.6,41106206.63388129,41.10620663388129,109637086,1597,280137,280.137,9271,327,15962,327,18446744073709551615,1766544,798,mycc
160.242.19.254:9208,1773106692.1662388,31.667,21005997.313889373,21.005997313889374,112440414,1597,293704,293.704,17532,12,16350,12,18446744073709551615,1044566,798,mycc
160.242.19.254:9208,1773106693.3786967,32.88,38980916.520096585,38.980916520096585,118348254,1597,260869,260.869,30628,141,16838,141,18446744073709551615,1191739,798,mycc
160.242.19.254:9208,1773106695.0066926,34.508,26468704.376774926,26.468704376774927,123734622,1597,288993,288.993,5834,148,17814,148,18446744073709551615,2323918,798,mycc
160.242.19.254:9208,1773106696.0375426,35.539,44032884.43780856,44.032884437808555,129408534,1597,296249,296.249,13,0,17885,0,18446744073709551615,1663273,798,mycc
160.242.19.254:9208,1773106697.4683037,36.969,32254228.91125232,32.25422891125232,135177046,1597,429864,429.864,14363,0,18434,0,18446744073709551615,316346,798,mycc
160.242.19.254:9208,1773106698.622452,38.124,26858578.676247906,26.858578676247905,139051894,1597,260795,260.795,15306,11,18811,11,18446744073709551615,2163532,798,mycc
160.242.19.254:9208,1773106699.9044876,39.406,24757627.843511745,24.757627843511745,143019414,1597,221946,221.946,4046,135,19309,135,18446744073709551615,1311497,798,mycc
160.242.19.254:9208,1773106701.151021,40.652,29903500.526830312,29.90350052683031,147678878,1597,228335,228.335,2190,71,20337,71,18446744073709551615,2651215,798,mycc
160.242.19.254:9208,1773106702.162503,41.664,38136832.87158427,38.13683287158427,152500718,1597,259174,259.174,8048,13,21047,13,18446744073709551615,4029506,798,mycc
160.242.19.254:9208,1773106703.2796025,42.781,20345374.356520765,20.345374356520765,155341694,1597,230940,230.94,10917,3,21670,3,18446744073709551615,3507241,798,mycc
160.242.19.254:9208,1773106704.3204796,43.822,27867205.3539752,27.867205353975198,158967486,1597,227113,227.113,5111,9,22052,9,18446744073709551615,1153175,798,mycc
160.242.19.254:9208,1773106705.4048998,44.906,26267544.528088633,26.26754452808863,162528118,1597,304867,304.867,15042,123,22529,123,18446744073709551615,1722385,798,mycc
213.158.175.240:5201,1773106709.847444,1.158,3750863.6225169585,3.7508636225169587,543038,284,175095,175.095,1665,0,0,0,18446744073709551615,1222725,2147483647,mycc
213.158.175.240:5201,1773106711.08522,2.396,24295238.39785623,24.29523839785623,4302046,1,260811,260.811,3952,1,3,878,18446744073709551615,1968939,741,mycc
213.158.175.240:5201,1773106750.3056433,41.616,216791.54128351872,0.2167915412835187,5364878,1,201704,201.704,8137,1,197,144,18446744073709551615,14031,741,mycc
102.214.66.39:5201,1773106761.2481534,1.01,1571145.4334807014,1.5711454334807013,198414,150,220717,220.717,901,0,0,0,18446744073709551615,480644,2147483647,mycc
102.214.66.39:5201,1773106763.8235373,3.586,8001888.956139094,8.001888956139094,2774406,517,298334,298.334,8960,1,7,1,18446744073709551615,1631034,258,mycc
102.214.66.39:5201,1773106769.1641,8.926,4162425.897761615,4.162425897761615,5553118,1,274752,274.752,19960,0,22,0,18446744073709551615,4769820,259,mycc
102.214.66.39:5201,1773106772.629625,12.392,3553225.4033525996,3.5532254033525996,7092342,259,304100,304.1,77,0,22,0,18446744073709551615,1182353,259,mycc
102.214.66.39:5201,1773106773.8603773,13.623,9261535.933082134,9.261535933082133,8517174,259,309273,309.273,100,0,22,0,18446744073709551615,1025814,259,mycc
102.214.66.39:5201,1773106775.0853808,14.848,10345191.828004353,10.345191828004353,10101286,259,305976,305.976,25,0,22,0,18446744073709551615,1224674,259,mycc
102.214.66.39:5201,1773106776.620773,16.383,7484294.480834025,7.484294480834025,11537702,259,307030,307.03,43,0,23,0,18446744073709551615,1108201,129,mycc
102.214.66.39:5201,1773106777.9550025,17.717,12988518.391143648,12.988518391143648,13703910,262,307163,307.163,16,0,24,0,18446744073709551615,1235060,130,mycc
102.214.66.39:5201,1773106779.1832705,18.945,9883863.219072277,9.883863219072277,15221414,262,307587,307.587,35,0,24,0,18446744073709551615,1234024,130,mycc
102.214.66.39:5201,1773106780.412072,20.174,9841863.075100016,9.841863075100015,16733126,262,307454,307.454,40,0,24,0,18446744073709551615,1215543,130,mycc
102.214.66.39:5201,1773106782.24394,22.006,12596609.492203724,12.596609492203724,19617542,268,214064,214.064,544,0,24,0,18446744073709551615,1811034,130,mycc
102.214.66.39:5201,1773106783.842241,23.604,14350438.965786364,14.350438965786363,22484582,276,217126,217.126,1261,0,24,0,18446744073709551615,1723922,130,mycc
102.214.66.39:5201,1773106785.4276423,25.19,14562188.166039892,14.562188166039892,25370446,283,223422,223.422,1516,0,24,0,18446744073709551615,1878779,130,mycc
102.214.66.39:5201,1773106786.9415228,26.704,15058858.431470588,15.058858431470588,28220110,290,213981,213.981,590,0,24,0,18446744073709551615,1950281,130,mycc
102.214.66.39:5201,1773106788.4319816,28.194,15435398.233477518,15.435398233477517,31095838,296,212188,212.188,345,0,24,0,18446744073709551615,1987067,130,mycc
102.214.66.39:5201,1773106789.872188,29.634,15869412.865626693,15.869412865626693,33952742,303,213808,213.808,1342,0,25,0,18446744073709551615,2031894,148,mycc
102.214.66.39:5201,1773106791.319791,31.082,15844344.203065803,15.844344203065804,36819782,309,213776,213.776,2688,0,25,0,18446744073709551615,2065783,148,mycc
102.214.66.39:5201,1773106792.6299324,32.392,17559803.328891706,17.559803328891707,39695510,316,213992,213.992,1298,0,25,0,18446744073709551615,2070872,148,mycc
102.214.66.39:5201,1773106793.9432578,33.705,17481949.188280046,17.481949188280048,42565446,322,211658,211.658,968,0,25,0,18446744073709551615,2160220,148,mycc
102.214.66.39:5201,1773106795.2670374,35.029,17317638.29476829,17.31763829476829,45431038,328,210692,210.692,953,0,25,0,18446744073709551615,2197401,148,mycc
102.214.66.39:5201,1773106796.7400148,36.502,17018438.981453728,17.018438981453727,48564510,334,226975,226.975,753,0,26,0,18446744073709551615,2124121,165,mycc
102.214.66.39:5201,1773106798.0076008,37.77,18048795.213669684,18.048795213669685,51424310,340,211741,211.741,807,0,26,0,18446744073709551615,2303600,165,mycc
102.214.66.39:5201,1773106799.2901337,39.052,17892643.109994493,17.892643109994495,54292798,345,211535,211.535,365,0,27,0,18446744073709551615,2314420,171,mycc
102.214.66.39:5201,1773106800.4626725,40.225,19561246.787561733,19.561246787561732,57159838,351,216683,216.683,986,0,27,0,18446744073709551615,2328072,171,mycc
102.214.66.39:5201,1773106801.7173543,41.479,18363680.360387243,18.363680360387242,60039910,356,213122,213.122,796,0,27,0,18446744073709551615,2404761,171,mycc
