server,timestamp,elapsed_s,goodput_bps,goodput_mbps,bytes_acked,snd_cwnd,rtt_us,rtt_ms,rttvar_us,retransmits,total_retrans,lost,pacing_rate,delivery_rate,snd_ssthresh
212.60.92.134:60002,1771822405.3097374,1.386,20037825.629921082,20.037825629921084,3471402,10,1562,1.562,1407,0,0,0,838383612,217551495,29
212.60.92.134:60002,1771822406.9524364,3.029,7002222.548047824,7.002222548047824,4909220,10,1140,1.14,352,0,0,0,1147943464,231388692,29
212.60.92.134:60002,1771822408.300164,4.376,10122698.857068356,10.122698857068356,6614550,10,822,0.822,147,0,0,0,1593018093,138441860,29
212.60.92.134:60002,1771822410.7400665,6.816,4723598.501194046,4.723598501194046,8055190,10,954,0.954,96,0,0,0,1371551250,127771707,29
212.60.92.134:60002,1771822413.1769037,9.253,4731221.28030075,4.73122128030075,9496342,10,773,0.773,92,0,0,0,1694256144,165152585,29
212.60.92.134:60002,1771822415.4618306,11.538,5282843.860702331,5.282843860702331,11005206,10,702,0.702,110,0,0,0,1865280398,222353140,29
212.60.92.134:60002,1771822417.7334492,13.81,5324161.360181338,5.324161360181338,12517014,10,430,0.43,91,0,0,0,3040417875,292334821,29
212.60.92.134:60002,1771822419.8363152,15.913,5710515.256212232,5.710515256212232,14018070,10,607,0.607,158,0,0,0,2156262605,252830115,29
212.60.92.134:60002,1771822422.2731082,18.349,4861402.494080661,4.861402494080661,15498849,10,788,0.788,122,0,0,0,1660687906,212377297,29
69.48.238.200:30000,1771822442.5092387,1.466,20013842.26817359,20.01384226817359,3667334,27,1294,1.294,870,0,0,0,1638497306,117987387,27
69.48.238.200:30000,1771822443.6728897,2.63,84947415.40993783,84.94741540993783,16023477,27,1130,1.13,526,0,0,0,1877565663,94811293,27
69.48.238.200:30000,1771822444.835762,3.792,99235699.88358483,99.23569988358483,30448283,27,2838,2.838,2806,0,0,0,747355625,66286726,27
69.48.238.200:30000,1771822445.8717074,4.828,102233826.62416394,102.23382662416394,43686866,27,813,0.813,185,0,0,0,2608451452,461147887,27
69.48.238.200:30000,1771822446.9213727,5.878,98397605.97676063,98.39760597676063,56597434,27,983,0.983,346,0,0,0,2158340996,168770618,27
69.48.238.200:30000,1771822447.9698448,6.927,106760510.79208598,106.76051079208598,70589362,27,714,0.714,91,0,0,0,2971497478,585977628,27
69.48.238.200:30000,1771822449.0205617,7.977,96054610.1531509,96.0546101531509,83205137,27,1154,1.154,501,0,0,0,1837522312,157885473,27
69.48.238.200:30000,1771822450.0734136,9.03,102669268.51065347,102.66926851065347,96717079,27,2180,2.18,2617,0,1,0,972898865,83271975,27
69.48.238.200:30000,1771822451.1127574,10.069,100818909.56571431,100.81890956571432,109815268,13,798,0.798,53,0,2,0,1279717882,164117794,12
69.48.238.200:30000,1771822452.1798031,11.136,109551305.29619436,109.55130529619436,124427299,13,740,0.74,190,0,2,0,1379054741,278059447,12
69.48.238.200:30000,1771822453.2110643,12.168,97956234.02128671,97.9562340212867,137054607,13,829,0.829,437,0,2,0,1232249457,213473512,12
69.48.238.200:30000,1771822454.259655,13.216,109455951.08541036,109.45595108541036,151401418,10,672,0.672,148,0,3,0,1169121815,416205508,9
69.48.238.200:30000,1771822455.3114114,14.268,97952280.3609895,97.95228036098949,164279160,10,764,0.764,116,0,3,0,1028528795,323372839,9
69.48.238.200:30000,1771822456.3556757,15.312,97459731.58919643,97.45973158919642,177000875,10,958,0.958,287,0,3,0,819711566,94560288,9
69.48.238.200:30000,1771822457.4075637,16.364,106149172.88052551,106.14917288052551,190958005,12,1203,1.203,337,0,3,0,783673550,395838514,9
69.48.238.200:30000,1771822458.4614217,17.418,110768770.91024594,110.76877091024593,205549825,12,884,0.884,168,0,3,0,1066389821,212262560,9
69.48.238.200:30000,1771822459.5064921,18.463,99504453.50606604,99.50445350606604,218548470,9,1218,1.218,352,0,4,0,580220613,329060301,8
69.48.238.200:30000,1771822460.5506685,19.507,95653789.65600137,95.65378965600138,231033398,7,1007,1.007,186,0,5,0,546233565,382302752,6
41.226.22.119:9235,1771822473.4451244,1.192,30764797.760774363,30.764797760774364,4582648,18,1184,1.184,299,0,0,0,1194370107,389779761,17
41.226.22.119:9235,1771822474.4868279,2.233,140609781.24649313,140.60978124649313,22891860,20,908,0.908,124,0,0,0,1729875619,163844036,17
41.226.22.119:9235,1771822475.5084455,3.255,148058037.02985805,148.05803702985804,41799198,20,864,0.864,144,0,0,0,1818183080,158939320,17
41.226.22.119:9235,1771822476.6208303,4.367,148229785.74660927,148.22978574660928,62410268,20,1546,1.546,913,0,0,0,1016060772,97408702,17
41.226.22.119:9235,1771822477.6402373,5.387,148890540.2352446,148.8905402352446,81382776,20,771,0.771,107,0,0,0,2036070607,197535444,17
41.226.22.119:9235,1771822478.6653159,6.412,163113418.41428578,163.11341841428577,102283284,15,1040,1.04,213,0,1,0,1132814992,201176651,14
41.226.22.119:9235,1771822479.752655,7.499,149274167.2047118,149.2741672047118,122572240,15,1077,1.077,404,0,1,0,1094296390,74454803,14
41.226.22.119:9235,1771822480.795417,8.542,151339954.64080092,151.33995464080093,142298685,15,1055,1.055,245,0,1,0,1117245497,176029569,14
41.226.22.119:9235,1771822481.85061,9.597,147316989.1675611,147.3169891675611,161729666,15,795,0.795,97,0,1,0,1481236569,169206718,14
41.226.22.119:9235,1771822482.9934723,10.74,110565878.14176829,110.5658781417683,177524863,11,2114,2.114,2287,0,2,0,408809033,132422649,11
41.226.22.119:9235,1771822484.0663602,11.813,123434890.36426076,123.43489036426077,194078838,8,642,0.642,391,0,3,0,978232717,1027184313,8
41.226.22.119:9235,1771822485.20728,12.954,79515998.50875963,79.51599850875964,205419009,11,1278,1.278,587,0,3,0,676217954,250618370,8
41.226.22.119:9235,1771822486.2473068,13.994,80638452.47251782,80.63845247251781,215902279,11,888,0.888,211,0,3,0,972574514,117143112,8
41.226.22.119:9235,1771822487.3176835,15.064,69796815.05106264,69.79681505106264,225240889,12,804,0.804,74,0,3,0,1172100932,193736686,8
41.226.22.119:9235,1771822488.3532164,16.1,68951215.80300505,68.95121580300506,234166046,12,2117,2.117,2021,0,4,0,445367906,56272987,8
41.226.22.119:9235,1771822489.4036925,17.15,71528452.52175935,71.52845252175935,243558412,13,904,0.904,153,0,4,0,1129391708,413576842,8
41.226.22.119:9235,1771822490.4542577,18.201,72088720.35448882,72.08872035448881,253025150,13,881,0.881,254,0,4,0,1159517366,225220980,8
41.226.22.119:9235,1771822491.5061018,19.253,63749552.54621359,63.74955254621359,261406974,14,1529,1.529,674,0,4,0,719381657,460684422,8
41.110.39.130:5201,1771822509.9061224,1.36,12699131.312420258,12.699131312420258,2159477,16,3287,3.287,4492,0,0,0,382484268,617764150,16
41.110.39.130:5201,1771822519.793112,11.247,1169206.854186738,1.169206854186738,3604469,10,1241,1.241,104,0,0,0,633195809,53806902,16
102.214.66.19:5201,1771822532.0940597,1.44,21815743.75456699,21.81574375456699,3927518,17,1663,1.663,750,0,0,0,803218759,198175961,16
102.214.66.19:5201,1771822534.6963277,4.043,29730272.430623535,29.730272430623536,13598285,10,816,0.816,230,0,0,0,962690352,126537198,16
102.214.66.19:5201,1771822535.763427,5.11,58223483.12825212,58.22348312825212,21364565,16,866,0.866,409,0,0,0,1450351665,350801785,16
102.214.66.19:5201,1771822538.1626022,7.509,15441053.45381268,15.44105345381268,25995289,10,922,0.922,115,0,0,0,852273318,296303167,16
102.214.66.19:5201,1771822539.2144208,8.561,74689220.47018902,74.68922047018901,35815228,16,669,0.669,181,0,0,0,1877578644,239425959,16
102.214.66.19:5201,1771822540.265631,9.612,57852690.18838197,57.85269018838197,43417145,10,1017,1.017,388,0,0,0,772186217,140672395,16
102.214.66.19:5201,1771822543.4259806,12.772,19385533.757162686,19.385533757162687,51075278,10,664,0.664,74,0,0,0,1183204968,199036474,16
102.214.66.19:5201,1771822544.457818,13.804,47216110.80146401,47.216110801464005,57165197,15,952,0.952,412,0,0,0,1237961402,346209214,16
102.214.66.19:5201,1771822546.6708312,16.017,6210847.803788172,6.210847803788172,58883283,16,1526,1.526,467,0,0,0,823631575,107173486,16
102.214.66.19:5201,1771822548.856616,18.203,17456891.32239263,17.456891322392632,63652909,10,855,0.855,137,0,0,0,919059649,116001771,16
102.214.66.19:5201,1771822549.9218788,19.268,35304370.14637483,35.30437014637483,68353963,10,856,0.856,132,0,0,0,917316211,305282051,16
169.150.238.161:5201,1771822578.6157298,10.712,2689879.5545093496,2.6898795545093495,3601745,10,1766,1.766,1337,0,0,0,741282014,98396694,23
169.150.238.161:5201,1771822580.6195908,12.716,5759014.365389691,5.759014365389691,5044278,10,1595,1.595,1038,0,0,0,820910444,27747033,23
169.150.238.161:5201,1771822582.0966985,14.193,7801055.743103919,7.801055743103919,6484653,10,1044,1.044,261,0,0,0,1253563053,109778709,23
169.150.238.161:5201,1771822586.931204,19.027,2920245.6860551946,2.9202456860551944,8249396,10,1006,1.006,335,0,0,0,1301848906,221976271,23
speedtest.telecom.mu:5202,1771822610.5228758,1.191,14967040.909153303,14.967040909153303,2227889,17,4013,4.013,5936,0,0,0,332829599,98916918,16
speedtest.telecom.mu:5202,1771822611.593562,2.262,10996029.535603033,10.996029535603034,3699551,10,1054,1.054,552,0,0,0,745095176,166200507,16
speedtest.telecom.mu:5202,1771822612.7404208,3.408,47108419.840538844,47.10841984053884,10452890,16,426,0.426,229,0,1,0,2950480727,620691943,16
speedtest.telecom.mu:5202,1771822613.8762982,4.544,39814445.78544671,39.81444578544671,16105931,16,1091,1.091,277,0,2,0,1152008796,517243285,16
speedtest.telecom.mu:5202,1771822615.0573664,5.725,55887428.86011532,55.88742886011532,24356789,17,1406,1.406,549,0,2,0,949602416,309856466,16
speedtest.telecom.mu:5202,1771822616.1035228,6.771,62560006.89710837,62.560006897108366,32537733,17,915,0.915,243,0,2,0,1458554060,196498124,16
speedtest.telecom.mu:5202,1771822617.242503,7.91,47405075.487434246,47.405075487434246,39286913,21,1914,1.914,320,0,2,0,862046023,468523148,16
speedtest.telecom.mu:5202,1771822618.3934894,9.061,31665116.941544503,31.665116941544504,43842678,19,903,0.903,225,0,2,0,1652705022,212262560,16
speedtest.telecom.mu:5202,1771822620.1083438,10.776,21537570.946001466,21.537570946001466,48459403,10,876,0.876,367,0,2,0,896387851,75528258,16
speedtest.telecom.mu:5202,1771822621.3305714,11.999,29835936.280437283,29.835936280437284,53017691,10,816,0.816,155,0,2,0,962101010,216472727,16
speedtest.telecom.mu:5202,1771822622.9025242,13.57,23678756.468124967,23.678756468124966,57670427,12,891,0.891,151,0,2,0,1058014249,122169776,16
speedtest.telecom.mu:5202,1771822624.1500938,14.818,28664072.223117534,28.664072223117532,62140480,12,565,0.565,101,0,2,0,1666734776,377423631,16
speedtest.telecom.mu:5202,1771822625.902745,16.571,17634983.927512858,17.63498392751286,66003977,18,1103,1.103,428,0,2,0,1281769642,203574093,16
speedtest.telecom.mu:5202,1771822627.6314862,18.299,7280266.2572421,7.280266257242101,67577189,10,1290,1.29,399,0,2,0,609026157,148994311,16
160.242.19.254:9221,1771822647.4474945,1.184,25215351.55985729,25.21535155985729,3732341,22,936,0.936,472,0,0,0,1846709787,217913477,22
160.242.19.254:9221,1771822648.4805734,2.217,94928028.39474761,94.92802839474761,15990859,22,739,0.739,179,0,0,0,2336939776,147650507,22
