server,timestamp,elapsed_s,goodput_bps,goodput_mbps,bytes_acked,snd_cwnd,rtt_us,rtt_ms,rttvar_us,retransmits,total_retrans,lost,pacing_rate,delivery_rate,snd_ssthresh,cc_algo
160.242.19.254:9208,1773104969.945552,1.228,811727.1489061882,0.8117271489061882,124566,96,305624,305.624,681,0,0,0,18446744073709551615,206016,2147483647,mycc
160.242.19.254:9208,1773104971.2759147,2.558,16648550.322419306,16.648550322419307,2893142,2008,392810,392.81,5588,0,0,0,18446744073709551615,3543364,2147483647,mycc
160.242.19.254:9208,1773104972.301631,3.584,27537470.02791803,27.53747002791803,6423846,2504,238604,238.604,13015,0,553,0,18446744073709551615,690261,1252,mycc
160.242.19.254:9208,1773104973.4446378,4.727,20509666.230399836,20.509666230399837,9354182,2504,273911,273.911,28181,9,1513,9,18446744073709551615,2413998,1252,mycc
160.242.19.254:9208,1773104974.8012598,6.083,26642316.36747219,26.64231636747219,13872126,2504,228905,228.905,574,125,2218,125,18446744073709551615,774718,1252,mycc
160.242.19.254:9208,1773104976.094062,7.376,41918835.2169631,41.918835216963096,20646222,2504,265371,265.371,1544,24,2935,24,18446744073709551615,1781590,1252,mycc
160.242.19.254:9208,1773104977.4260485,8.708,30678654.94891991,30.67865494891991,25754166,2504,329000,329.0,0,0,4373,0,18446744073709551615,1516216,1252,mycc
160.242.19.254:9208,1773104978.7672524,10.049,27520396.58518755,27.52039658518755,30367974,2504,280820,280.82,2467,0,5208,0,18446744073709551615,1941998,1252,mycc
160.242.19.254:9208,1773104980.1080897,11.39,17045493.154907495,17.045493154907494,33224878,2504,275058,275.058,1483,127,6543,127,18446744073709551615,690151,1252,mycc
160.242.19.254:9208,1773104981.4164407,12.699,40683002.021092564,40.68300202109256,39878334,2504,263235,263.235,407,3,7227,3,18446744073709551615,2492037,1252,mycc
160.242.19.254:9208,1773104982.7586386,14.041,27775051.75465194,27.77505175465194,44538286,2504,278386,278.386,2047,0,8061,0,18446744073709551615,1989536,1252,mycc
160.242.19.254:9208,1773104983.9072347,15.189,20765747.918215048,20.765747918215048,47519718,2504,230798,230.798,2266,58,9170,58,18446744073709551615,2906362,1252,mycc
160.242.19.254:9208,1773104985.3087468,16.591,25697501.161791842,25.69750116179184,52021638,2504,228147,228.147,849,269,10054,269,18446744073709551615,172804,1252,mycc
160.242.19.254:9208,1773104986.6365612,17.919,34699405.32460111,34.69940532460111,57780934,2504,348814,348.814,26071,8,10610,8,18446744073709551615,2534284,1252,mycc
160.242.19.254:9208,1773104987.9908419,19.273,37731899.75635573,37.73189975635573,64168382,2504,306568,306.568,2595,9,11475,9,18446744073709551615,1971673,1252,mycc
160.242.19.254:9208,1773104989.2548292,20.537,18901506.326409254,18.901506326409255,67154790,2504,250524,250.524,2172,187,12926,187,18446744073709551615,1245282,1252,mycc
160.242.19.254:9208,1773104990.4913518,21.773,32268451.538246535,32.26845153824654,72142374,2504,232022,232.022,1230,70,13590,70,18446744073709551615,2479909,1252,mycc
160.242.19.254:9208,1773104991.8855796,23.168,27073086.29130573,27.073086291305728,76860630,2504,225883,225.883,1463,40,14509,40,18446744073709551615,436478,1252,mycc
160.242.19.254:9208,1773104993.1883757,24.47,40136244.635717176,40.136244635717176,83396798,2504,310341,310.341,2588,0,15627,0,18446744073709551615,1578335,1252,mycc
160.242.19.254:9208,1773104994.3698714,25.652,31247010.925772145,31.247010925772145,88011574,2504,229667,229.667,1064,0,16174,0,18446744073709551615,3919839,1252,mycc
160.242.19.254:9208,1773104995.5837746,26.866,30514248.866503425,30.514248866503426,92641742,2504,225912,225.912,1199,0,16965,0,18446744073709551615,1988578,1252,mycc
160.242.19.254:9208,1773104996.8506215,28.133,29054611.207512278,29.054611207512277,97242710,2504,240285,240.285,1040,0,17583,0,18446744073709551615,2403523,1252,mycc
160.242.19.254:9208,1773104998.0680845,29.35,30383391.93747153,30.383391937471533,101866542,2504,233933,233.933,1206,0,18396,0,18446744073709551615,1991111,1252,mycc
160.242.19.254:9208,1773104999.2700481,30.552,30642284.064538408,30.64228406453841,106470406,2504,240557,240.557,23171,0,18907,0,18446744073709551615,4113322,1252,mycc
160.242.19.254:9208,1773105000.5220888,31.804,29604457.931461453,29.604457931461454,111103654,2504,233445,233.445,3154,0,19649,0,18446744073709551615,2307594,1252,mycc
160.242.19.254:9208,1773105001.7944038,33.077,29448706.69140609,29.44870669140609,115787158,2504,282309,282.309,538,0,20214,0,18446744073709551615,2289809,1252,mycc
160.242.19.254:9208,1773105002.9382749,34.22,21469272.776036564,21.469272776036565,118856918,2504,251984,251.984,5086,32,21294,32,18446744073709551615,3498840,1252,mycc
160.242.19.254:9208,1773105004.3690343,35.651,31604407.45944303,31.604407459443028,124509206,2504,275126,275.126,1658,70,22124,70,18446744073709551615,1774247,1252,mycc
160.242.19.254:9208,1773105005.7134285,36.996,37518233.6678817,37.518233667881695,130814118,2504,290765,290.765,1803,0,22906,0,18446744073709551615,1962791,1252,mycc
160.242.19.254:9208,1773105007.0024533,38.285,17613811.211368702,17.613811211368702,133652198,2504,283206,283.206,2468,49,24169,49,18446744073709551615,1000982,1252,mycc
160.242.19.254:9208,1773105008.223542,39.506,33245507.663780402,33.2455076637804,138726662,2504,238065,238.065,1504,22,24818,22,18446744073709551615,2446707,1252,mycc
160.242.19.254:9208,1773105009.5629003,40.845,26737818.55380766,26.73781855380766,143203102,2504,226616,226.616,662,67,25648,67,18446744073709551615,1581600,1252,mycc
160.242.19.254:9208,1773105010.90611,42.188,40887755.81459291,40.887755814592914,150068206,2504,391471,391.471,6690,0,26125,0,18446744073709551615,4129575,1252,mycc
160.242.19.254:9208,1773105012.2847493,43.567,29263824.3420457,29.263824342045698,155111238,2504,444388,444.388,6250,0,27154,0,18446744073709551615,3183121,1252,mycc
160.242.19.254:9208,1773105013.5537558,44.836,30264885.38966471,30.26488538966471,159912030,2504,451302,451.302,5549,0,27936,0,18446744073709551615,3348444,1252,mycc
213.158.175.240:5201,1773105017.3327122,1.035,4725235.114836725,4.7252351148367255,611094,432,170056,170.056,641,0,0,0,18446744073709551615,1691523,2147483647,mycc
102.214.66.39:5201,1773105068.764265,1.126,1542958.3199853522,1.5429583199853523,217238,160,306916,306.916,58,0,0,0,18446744073709551615,377454,2147483647,mycc
102.214.66.39:5201,1773105070.1171727,2.479,16456738.842851166,16.456738842851166,3000294,2082,414693,414.693,2758,0,0,0,18446744073709551615,3602222,2147483647,mycc
102.214.66.39:5201,1773105082.5870109,14.949,1094316.6899341238,1.0943166899341237,4706038,1,279612,279.612,28728,1,44,1624,18446744073709551615,3486936,1148,mycc
102.214.66.19:5201,1773105164.6111617,1.228,863913.650901936,0.863913650901936,132606,99,307089,307.089,100,0,0,0,18446744073709551615,212025,2147483647,mycc
102.214.66.19:5201,1773105165.949969,2.567,16599323.339797858,16.59932333979786,2910518,2021,398386,398.386,4407,0,0,0,18446744073709551615,3611814,2147483647,mycc
102.214.66.19:5201,1773105176.0797257,12.697,1652446.4025931149,1.652446402593115,5002878,2271,287875,287.875,11075,1,35,1,18446744073709551615,4971,1135,mycc
212.60.92.134:60001,1773105252.0025682,2.089,277432.1978825303,0.27743219788253026,72438,13,262855,262.855,9992,2,20,2,18446744073709551615,51658,6,mycc
212.60.92.134:60001,1773105253.625773,3.712,535237.4815480242,0.5352374815480242,181038,16,241454,241.454,12180,1,35,1,18446744073709551615,70555,8,mycc
212.60.92.134:60001,1773105254.7239742,4.81,453570.7719499196,0.45357077194991957,243302,18,285843,285.843,27022,6,49,6,18446744073709551615,56591,9,mycc
212.60.92.134:60001,1773105257.2838683,7.37,615425.4620432162,0.6154254620432162,440230,20,310516,310.516,10807,5,87,5,18446744073709551615,70623,10,mycc
212.60.92.134:60001,1773105259.661305,9.748,652911.6171883368,0.6529116171883368,634262,24,236980,236.98,12798,2,114,2,18446744073709551615,75506,11,mycc
212.60.92.134:60001,1773105261.1753356,11.262,642692.3861175171,0.6426923861175171,755894,25,308434,308.434,2742,2,140,2,18446744073709551615,98410,12,mycc
212.60.92.134:60001,1773105262.9160533,13.002,825186.0951979969,0.8251860951979969,935446,27,272185,272.185,15155,5,167,5,18446744073709551615,108182,13,mycc
212.60.92.134:60001,1773105264.4526165,14.539,934823.9234348615,0.9348239234348614,1114998,29,317652,317.652,19504,9,192,9,18446744073709551615,75494,14,mycc
212.60.92.134:60001,1773105265.8862956,15.973,605993.3479299005,0.6059933479299006,1223598,29,299093,299.093,13646,6,224,6,18446744073709551615,89455,14,mycc
212.60.92.134:60001,1773105268.0957139,18.182,990928.6997202538,0.9909286997202538,1497270,31,235802,235.802,14348,8,284,8,18446744073709551615,117047,15,mycc
212.60.92.134:60001,1773105269.4808936,19.567,1789642.0919770082,1.7896420919770082,1807142,34,226651,226.651,3145,3,313,3,18446744073709551615,174740,16,mycc
212.60.92.134:60001,1773105270.788825,20.875,1408220.6202460069,1.4082206202460068,2037374,36,225281,225.281,3969,4,345,4,18446744073709551615,203038,18,mycc
212.60.92.134:60001,1773105272.2905955,22.377,1226456.375627294,1.226456375627294,2267606,39,227681,227.681,5985,7,397,7,18446744073709551615,192243,19,mycc
212.60.92.134:60001,1773105273.7709463,23.857,1862391.0799699987,1.8623910799699988,2612230,41,225797,225.797,2981,7,452,7,18446744073709551615,170075,20,mycc
212.60.92.134:60001,1773105275.1288967,25.215,1723161.5496284275,1.7231615496284274,2904726,43,230151,230.151,6532,8,502,8,18446744073709551615,199264,21,mycc
212.60.92.134:60001,1773105276.6607149,26.747,1724194.2181312707,1.7241942181312708,3234870,46,235085,235.085,4094,7,564,7,18446744073709551615,228634,23,mycc
212.60.92.134:60001,1773105278.4895885,28.576,1874850.1458059677,1.8748501458059676,3663478,50,223116,223.116,1410,7,632,7,18446744073709551615,254690,25,mycc
212.60.92.134:60001,1773105280.3772812,30.464,1945299.687632435,1.945299687632435,4122494,52,249046,249.046,41604,9,717,9,18446744073709551615,272045,26,mycc
212.60.92.134:60001,1773105282.2971027,32.383,1725693.7682264044,1.7256937682264044,4536622,55,262905,262.905,15352,15,778,15,18446744073709551615,178495,27,mycc
212.60.92.134:60001,1773105283.9347534,34.021,1839122.315942875,1.8391223159428751,4913102,57,259148,259.148,10614,7,840,7,18446744073709551615,232250,28,mycc
212.60.92.134:60001,1773105285.1388156,35.225,1654771.6232777177,1.6547716232777177,5162158,58,307320,307.32,180,7,885,7,18446744073709551615,234503,29,mycc
212.60.92.134:60001,1773105286.2781968,36.364,2968741.355616792,2.968741355616792,5584974,60,227491,227.491,1153,10,939,10,18446744073709551615,304421,30,mycc
212.60.92.134:60001,1773105287.4927487,37.579,1278048.2803627655,1.2780482803627655,5779006,60,313147,313.147,11912,14,988,14,18446744073709551615,206767,30,mycc
212.60.92.134:60001,1773105289.0169451,39.103,2340821.7156148585,2.3408217156148585,6224990,62,231174,231.174,4077,12,1067,12,18446744073709551615,294710,30,mycc
212.60.92.134:60001,1773105290.3676987,40.454,2461298.739827986,2.4612987398279857,6640566,63,225334,225.334,3089,8,1150,8,18446744073709551615,349805,31,mycc
