server,timestamp,elapsed_s,goodput_bps,goodput_mbps,bytes_acked,snd_cwnd,rtt_us,rtt_ms,rttvar_us,retransmits,total_retrans,lost,pacing_rate,delivery_rate,snd_ssthresh,cc_algo
160.242.19.254:9208,1773103820.3888094,1.126,978016.8099303487,0.9780168099303487,137598,99,314629,314.629,1733,0,0,0,902324,150594,2147483647,reno
160.242.19.254:9208,1773103821.6401548,2.377,12904587.375378558,12.904587375378558,2156110,1493,314292,314.292,2074,0,0,0,13757024,2580333,2147483647,reno
160.242.19.254:9208,1773103823.1869938,3.924,32778568.447985046,32.778568447985045,8494006,527,291503,291.503,678,1,460,1,5710463,5199686,527,reno
160.242.19.254:9208,1773103824.916592,5.653,20568052.84653248,20.568052846532478,12940814,268,218855,218.855,1703,0,468,0,2127784,1753686,263,reno
160.242.19.254:9208,1773103826.5756032,7.312,13755469.36894383,13.75546936894383,15793374,275,229208,229.208,2574,0,468,0,2084741,1579392,263,reno
160.242.19.254:9208,1773103828.2092683,8.946,14011430.012448177,14.011430012448177,18654622,283,227549,227.549,1231,0,468,0,2161031,1719261,263,reno
160.242.19.254:9208,1773103829.8442633,10.581,14134648.870959887,14.134648870959888,21543382,290,219045,219.045,420,0,468,0,2300457,1824096,263,reno
160.242.19.254:9208,1773103831.381718,12.118,14858095.923083508,14.858095923083509,24398838,296,220861,220.861,3144,0,468,0,2328747,1925148,263,reno
160.242.19.254:9208,1773103832.7724915,13.509,16550076.21620252,16.55007621620252,27276014,303,223412,223.412,1149,0,468,0,2356593,1965025,263,reno
160.242.19.254:9208,1773103834.2874033,15.024,15140365.68789964,15.14036568789964,30143054,309,218796,218.796,746,0,468,0,2453961,2034312,263,reno
160.242.19.254:9208,1773103835.6564584,16.393,16812624.364777952,16.812624364777953,33020230,316,225834,225.834,974,0,468,0,2431343,1930066,263,reno
160.242.19.254:9208,1773103836.991667,17.728,17169403.392040133,17.169403392040135,35885822,322,218402,218.402,507,0,468,0,2561821,2105347,263,reno
160.242.19.254:9208,1773103838.3324966,19.069,17054229.572046325,17.054229572046324,38744174,328,217596,217.596,847,0,468,0,2619217,2170584,263,reno
160.242.19.254:9208,1773103839.6541362,20.391,17380739.106853284,17.380739106853284,41615558,334,220377,220.377,886,0,468,0,2633473,2126436,263,reno
160.242.19.254:9208,1773103840.9695604,21.706,17454056.2142661,17.4540562142661,44485494,340,218000,218.0,585,0,468,0,2710009,2230657,263,reno
160.242.19.254:9208,1773103842.309421,23.046,17153019.25206436,17.153019252064357,47358326,346,219441,219.441,866,0,468,0,2739722,2271072,263,reno
160.242.19.254:9208,1773103843.5676332,24.304,18220088.79950217,18.22008879950217,50223918,351,218788,218.788,1093,0,468,0,2787615,2317203,263,reno
160.242.19.254:9208,1773103844.7684286,25.505,19033410.496399783,19.03341049639978,53080822,357,220740,220.74,1273,0,468,0,2810192,2315401,263,reno
160.242.19.254:9208,1773103846.0122,26.749,18468883.5693845,18.468883569384502,55952206,362,219034,219.034,502,0,468,0,2871748,2331902,263,reno
160.242.19.254:9208,1773103847.1904411,27.927,19466577.481272895,19.466577481272896,58819246,368,221689,221.689,935,0,468,0,2884383,2408887,263,reno
160.242.19.254:9208,1773103848.4107563,29.147,18842869.17130893,18.84286917130893,61693526,373,221245,221.245,2296,0,468,0,2929440,2389342,263,reno
