server,timestamp,elapsed_s,goodput_bps,goodput_mbps,bytes_acked,snd_cwnd,rtt_us,rtt_ms,rttvar_us,retransmits,total_retrans,lost,pacing_rate,delivery_rate,snd_ssthresh
fra.speedtest.clouvider.net:5209,1772680812.9647787,1.014,29407827.817592777,29.40782781759278,3726470,2734,112740,112.74,188,0,0,0,66348819,15900338,2147483647
fra.speedtest.clouvider.net:5209,1772680813.9938128,2.043,206568353.96128988,206.5683539612899,30297206,4602,114283,114.283,367,0,0,0,110173773,27331017,2147483647
fra.speedtest.clouvider.net:5209,1772680815.0193849,3.068,205680236.33904436,205.68023633904437,56664694,4602,113061,113.061,118,0,0,0,111364436,27855258,2147483647
fra.speedtest.clouvider.net:5209,1772680816.0464265,4.095,204720713.27998328,204.72071327998327,82946782,4602,113784,113.784,391,0,0,0,110657302,27855258,2147483647
fra.speedtest.clouvider.net:5209,1772680817.0752032,5.124,205116506.96010986,205.11650696010986,109324166,4602,113293,113.293,71,0,0,0,111137123,27855258,2147483647
fra.speedtest.clouvider.net:5209,1772680818.1019366,6.151,205069974.6598502,205.0699746598502,135643190,4602,113321,113.321,116,0,0,0,111108927,27855258,2147483647
fra.speedtest.clouvider.net:5209,1772680819.1218958,7.171,204135786.68947098,204.135786689471,161669462,4602,113103,113.103,151,0,0,0,111323943,27855258,2147483647
fra.speedtest.clouvider.net:5209,1772680820.1219127,8.171,173005199.41657862,173.00519941657862,183295478,3222,113403,113.403,301,0,13,0,46640949,27943409,3222
fra.speedtest.clouvider.net:5209,1772680821.2046611,9.254,158631273.82516664,158.63127382516663,204765198,1608,125049,125.049,362,0,33,0,21109225,11399818,1596
fra.speedtest.clouvider.net:5209,1772680822.2140236,10.263,115688392.15057352,115.68839215057352,219361638,1193,112794,112.794,213,0,66,0,17362881,14299356,1146
fra.speedtest.clouvider.net:5209,1772680823.3356051,11.385,113930318.75144836,113.93031875144837,235334406,880,113698,113.698,988,0,71,0,12705575,15153260,880
fra.speedtest.clouvider.net:5209,1772680824.362434,12.411,75529165.69721782,75.52916569721782,245028846,659,113350,113.35,44,0,78,0,9543975,7796934,640
fra.speedtest.clouvider.net:5209,1772680825.4915626,13.541,53560364.104415014,53.560364104415015,252588414,503,112403,112.403,49,0,79,0,7346077,6035168,471
fra.speedtest.clouvider.net:5209,1772680826.627911,14.677,47846054.861160204,47.846054861160205,259384638,381,112520,112.52,66,0,82,0,5558551,4560727,369
