# iperf3 server list — sourced from https://iperf3serverlist.net/
# Format: host,port (port can be a range like 9201-9240)

# Africa
160.242.19.254,9201-9240
41.110.39.130,5201
213.158.175.240,5201
102.214.66.39,5201
102.214.66.19,5201
212.60.92.134,60001-60003
105.235.237.2,5201-5209
speed.mymanga.pro,9200-9240
speedtestfl.telecom.mu,5201-5209
speedtest.telecom.mu,5201-5209
41.226.22.119,9200-9240
41.210.185.162,5201
169.150.238.161,5201
69.48.239.124,30000

# Asia
86.96.154.106,7007-7013
23.249.55.42,30000
69.48.238.200,30000
84.17.57.129,5201
23.249.58.14,30000
speedtest.hkg12.hk.leaseweb.net,5201-5210
iperf.scbd.net.id,5201-5209
speedtest.tangerang2.myrepublic.net.id,9200-9240
169.150.202.193,5201
speed.netfiber.net.il,5201
speed.rimon.net.il,5201
23.249.61.122,30000
69.48.236.198,30000
89.187.160.1,5201
23.249.60.154,30000
66.35.31.81,30000
speedtest.tyo11.jp.leaseweb.net,5201-5210
89.187.162.1,5201
96.45.38.22,30000
speedtest.sin1.sg.leaseweb.net,5201-5210
sgp.proof.ovh.net,5201-5210
speedtest.singnet.com.sg,5201-5210
156.146.52.1,5201
69.48.237.66,30000
speedtest.uztelecom.uz,5200-5209

# Europe
185.180.12.40,5201
lg.vie.alwyzon.net,5201-5203
207.211.214.65,5201
185.3.160.57,5201-5240
37.19.203.1,5201
t5.cscs.ch,5201-5203
89.187.165.1,5201
speedtest.init7.net,5201-5204
212.60.47.34,9201-9209
speedtest.shinternet.ch,5200-5209
speedtest.iway.ch,5201
185.152.65.113,5201
85.163.71.241,5201
fra.speedtest.clouvider.net,5200-5209
185.102.219.93,5201
178.215.228.109,9205-9239
96.45.39.38,30000
spd-desrv.hostkey.com,5201-5209
speedtest.ip-projects.de,5201
speedtest.fra1.de.leaseweb.net,5201-5210
a209.speedtest.wobcom.de,5201
a110.speedtest.wobcom.de,5201
a208.speedtest.wobcom.de,5201
a210.speedtest.wobcom.de,5201
a205.speedtest.wobcom.de,5201
speedtest.wobcom.de,5201
a400.speedtest.wobcom.de,5201
speedtest.wtnet.de,5200-5209
121.127.45.65,5201
speed1.fiberby.dk,9201-9240
speed2.fiberby.dk,9201-9240
speedtest.hiper.dk,5201-5205
bwtest.linxtelecom.com,5201-5209
185.93.3.50,5201
148.230.45.213,30000
spd-fisrv.hostkey.com,5201-5209
138.199.14.66,5201
185.93.2.193,5201
96.45.42.156,30000
96.45.41.167,30000
speedtest.milkywan.fr,9200-9240
ping-90ms.online.net,5200-5209
iperf.online.net,5200-5209
scaleway.testdebit.info,9200-9240
ping.online.net,5200-5209
iperf3.moji.fr,5200-5240
lon.speedtest.clouvider.net,5200-5208
185.59.221.51,5201
96.45.40.45,30000
speedtest.lon1.uk.leaseweb.net,5201-5210
speedtest.lon12.uk.leaseweb.net,5201-5210
speedtest2.lightningfibre.net.uk,4000-4007
81.16.176.244,5201-5300
speedtestb.quickline.co.uk,5201-5250
iperf.boundlessnetworks.uk,5201-5250
speedtest.rapidswitch.com,5201-5209
iperf.as42831.net,5300-5400
169.150.252.2,5201
169.150.242.129,5201
87.249.137.8,5201
spd-icsrv.hostkey.com,5201-5209
it1.speedtest.aruba.it,5201
217.61.40.96,5201
84.17.59.129,5201
speed-cb.dimensione.com,5201-5209
speedtest.lu.buyvm.net,5201
ams.speedtest.clouvider.net,5200-5209
185.102.218.1,5201
iperf-ams-nl.eranium.net,5201-5210
speedtest.ams1.nl.leaseweb.net,5201-5210
speedtest.ams2.nl.leaseweb.net,5201-5210
speedtest.nl1.mirhosting.net,5201-5210
speedtest.netone.nl,5201
speedtest.ams1.novogara.net,5200-5209
iperf1.surfwireless.nl,5201-5220
ping-ams1.online.net,5200-5209
a204.speedtest.wobcom.de,5201
iperf.worldstream.nl,5201-5205
nl.speed.vps1.net,5201-5210
lg.gigahost.no,9201-9240
lg.terrahost.com,9200-9240
185.246.208.67,5201
speedsrv.multinet24.pl,5301-5310
109.61.94.65,5201
lisboa.speedtest.net.zon.pt,5201-5209
porto.speedtest.net.zon.pt,5201-5209
185.102.217.170,5201
speedtest1.sox.rs,9202-9240
185.76.9.135,5201
speedtest.kamel.network,5201-5205
speedtest.keff.org,9201-9240
156.146.40.65,5201
speed.cosmonova.net,5201-5209
37.19.218.65,5201

# Latin America
138.199.4.1,5201
148.230.60.200,30000
